"","muse.track","muse.artist","lyrics"
"17","Mystified","Dannii Minogue","Yeah, yeah yeah Lately, you ain't been the same You're always saying, you ain't playin' games You go too far, I need to get my hands untied Pull myself together, I won't listen to your lies Mystified, mystified heard it on the grape vine Lover on the other line, why you wasting my time? I'm mystified, mystified, you're such a dirty man Heard it on the grape vine, lover on the other line I'm mystified, yeah, yeah, yeah I heard you say you were working so late Schemin' baby, there's some things that can't wait We don't need to hold on tight, that isn't my perfume So where did you end up last night? Remind me, I'm confused Mystified, mystified heard it on the grape vine Lover on the other line, why you wasting my time? I'm mystified, mystified, you're such a dirty man Heard it on the grape vine, lover on the other line I'm mystified, yeah, yeah, yeah Mystified, mystified heard it on the grape vine Lover on the other line, why you wasting my time? I'm mystified, mystified, you're such a dirty man Heard it on the grape vine, lover on the other line I'm mystified, yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Don't tell me to hold on tight That isn't my perfume So where did you end up last night? Remind me, I'm confused Mystified, mystified heard it on the grape vine Lover on the other line, why you wasting my time? I'm mystified, mystified, you're such a dirty man Heard it on the grape vine, lover on the other line I'm mystified, yeah, yeah, yeah Mystified, mystified (mystified, mystified) Heard it on the grape vine (heard it on the grape vine) Mystified, mystified (mystified, mystified) Lover on the other line (lover on the other line) Heard it on the grape vine, lover on the other line I'm mystified, yeah, yeah, yeah"
"18","Everybody Dance","RuPaul","Body, body, body, everybody Body, body, body, everybody Body, body, body, everybody Body, body, body, everybody Everybody dance, do-do-do Clap your hands, clap your hands Everybody dance, do-do-do Clap your hands, clap you hands (Come on, come on) Music never lets you down Puts a smile on your face Any time, anyplace Dancing helps relieve the pain Soothes your mind, makes you happy again Listen to those dancing feet Close your eyes and let go But it don't mean a thing If it ain't got that swing Bop-shoo-wa, bop-shoo-wa, bop-shoo-wa Everybody dance, do-do-do Clap your hands, clap your hands Everybody dance, do-do-do Clap your hands, clap you hands (Come on, come on dance with me) Everybody dance, do-do-do Clap your hands, clap your hands (Come on, come on) Everybody dance, do-do-do Clap your hands, clap you hands Come on, come on) Spinning all around the floor Just like Rogers and Astaire Hoof all night without a care Stepping to our favorite tune The good times always end too soon Everybody's dancing Lift your feet, have some fun Come on everybody, get on your feet Clap your hands Everybody's screaming Everybody dance, do-do-do Clap your hands, clap your hands Everybody dance, do-do-do Clap your hands, clap you hands (Come on, come on dance with me) Everybody dance, do-do-do Clap your hands, clap your hands (Come on, come on) Everybody dance, do-do-do Clap your hands, clap you hands (Come on, come on) Let me see you [?] Do you want to dance, baby Body, body, body, everybody Body, body, body, everybody Body, body, body, everybody Body, body, body, everybody Everybody dance, do-do-do Clap your hands, clap your hands Everybody dance, do-do-do Clap your hands, clap you hands (Come on, come on dance with me) Everybody dance, do-do-do Clap your hands, clap your hands (Come on, come on) Everybody dance, do-do-do Clap your hands, clap you hands (Come on, come on) Everybody dance Clap your hands, clap your hands Everybody dance Clap your hands, clap your hands"
"19","A Shade Shady (Now Prance)","RuPaul","Do you think you are fierce? How fierce are you? Come on, show me Tell the man with the money to come here and pay me Shade Shady You are shady Shade Shady You are shady Now prance Prance, girl Now prance Prance I said! Now prance Prance, girl Now prance Prance I said! Just do it Don't be thrown' no shade I just want to get paid Don't be thrown' no shade I just want to get paid Don't be thrown' no shade I just want to get paid Don't be thrown' no shade I just want to get paid I just wanna get I just wanna get I just wanna get Paid I just wanna get I just wanna get I just wanna get Paid I just wanna get I just wanna get I just wanna get Paid Now prance Prance, girl Now prance Prance I said! Now prance Prance, girl Now prance Prance I said! Just do it Don't be thrown' no shade I just want to get paid Don't be thrown' no shade I just want to get paid Don't be thrown' no shade I just want to get paid Don't be thrown' no shade I just want to get paid I just wanna get I just wanna get I just wanna get Paid I just wanna get I just wanna get I just wanna get Paid I just wanna get I just wanna get I just wanna get Paid You were lookin' at me I was lookin' at you You were lookin' at me I was looking at you too Shade Shade shade You were lookin' at me I was lookin' at you You were lookin' at me I was looking at you too Shade Shade shade Tell the man with the money to come here and pay me I just wanna get I just wanna get I just wanna get Paid I just wanna get I just wanna get I just wanna get Paid I just wanna get I just wanna get I just wanna get Paid Just do it Click, dial tone, goodbye, yes, on your merry way!"
"20","Pale on Pale","Chelsea Wolfe","When the light in your eyes Goes out for the last time When your hands are tied Pale on pale and mind on mind When your body is swollen with blood And ocean floor is swollen with sun When the light in your eyes Goes out for the last time When your mind is open When your mind is open When your mind is open When your mind is open"
"21","Movie Screen","Chelsea Wolfe","Don't you ever cross that bridge in your mind again It's like a movie screen Don't you ever cross that bridge in your mind again It's like a movie screen Don't you ever cross that bridge in your mind again It's like a movie screen Don't you ever cross that bridge in your mind again It's like a movie screen (Don't you ever cross that) Don't you ever cross that bridge in your mind again (It's like a movie screen) It's like a movie screen (Don't you ever cross that) Don't you ever cross that bridge in your mind again (It's like a movie screen) It's like a movie screen (Don't you ever cross that) Don't you ever cross that bridge in your mind again (It's like a movie screen) It's like a movie screen (Don't you ever cross that) Don't you ever cross that bridge in your mind again (It's like a movie screen) It's like a movie screen (Don't you ever cross that) Don't you ever cross that bridge in your mind again It's like a movie screen"
"25","Grey Days","Chelsea Wolfe","How many years have I been sleeping? Nobody ever said I was alive Why does everything feel so unnamed? The poison inside helps me along Grey and holy You said it was the first time Like the morphine You take it all away Pretend it's okay The grey days Lost inside the River Styx I don't know where to run No hunger, no fever, no loss, no wager Could wake your mind How many years have I been sleeping? How many hours did I throw away? Why does everything feel so unnamed? The poison inside helps me along Grey and holy You said it was the first time Like the morphine You take it all away Pretend it's okay The grey days"
"26","Maw","Chelsea Wolfe","Where are you? Where are you? Where are you? Where are you? In the maw, shattered teeth Underneath a dripping tongue I've been waiting in this silence While you're sleeping, until you believe Where are you? Where are you? In the maw, in a world so dirty Intoxicated, a life of tears In the maw, a world in a daze None can be trusted in the mouth of the beast I've been waiting in this silence While you're sleeping, until you believe I've been waiting in this silence I'm on fire, I'm on fire"
"27","Survive","Chelsea Wolfe","You said you won't break my heart Unless you do You said you won't fall apart Until the end Did we travel all this way Just to survive? Did you stay another day? We could survive All the sinners and the saints Move in the same direction They walk in place Until the end Ramble on this barren place We call our home Dreams of endless landscapes Morphing in love"
"28","The Way We Used To","Chelsea Wolfe","Are we wasting our time awake, here? We could be sleeping, I'll disappear then maybe When you're here, I know I could never love you I only dream of you after you are gone We don't work the way we used to Your face has changed since morning Say it, I want to hear some truth Say it, oh say it When you're here, I know I could never love you I only dream of you after you are gone"
"30","Spinning Centers","Chelsea Wolfe","When the minute goes by faster than the feet When the winter passes slowly as defeat When the face of death is after me spinning Only dream of me, only dream of me When the children speak of sinners in the street When the fever hits the center of our feet When our palms are burnt like balmy winter trees Only dream of me, only dream of me"
"31","The Abyss","Chelsea Wolfe","Watch your thoughts in the dark They’ll drag you down to the deep blue sea Stare it down, the abyss Run away, run away from it Snuff it out at the wick Run away, run away from it With broken hearts, how could we fear Anything for a thousand years When I move it pulls me closer When I swim it drags me under When I dream it steals my wonder Set me free from my slumber Stare it down, the abyss Run away, run away from it It hurts to love when I remember We were born unto chaos When I move it pulls me closer When I swim it drags me under When I dream it steals my wonder Then sets me free from my slumber"
"32","I Died With You","Chelsea Wolfe","I died with you I wear your clothes to be more like you Your eyes still sparkle in my mind though you are gone"
"33","Our Work Was Good","Chelsea Wolfe","Oh, the night is wild And he is fine, and away we go And oh, our hands were tired But our work was good And our hands would hold Brother, our troubles are Locked in each other's arms And away we go Happen, did it happen? Is it over, is it done? Answer, you'd only answer In questions, you knew me well After, did we care for One another or ourselves at all? Over, is it over? Did it happen? I knew him well"
"35","Spoon","Boris","I'll stir it up With a tiny spoon You want me to say ""You want some more?"" It may be poisonous for you I'll stir it up With a silver spoon You want me to say ""You want some more?"" Well, it may be poisonous for you Dropping down Dropping down, ah... My tears Like syrup ""You want some more?"" Look, it's dissolving You know may be poisonous for you Your tea will Be weakened And get cold"
"38","Benjamin","Chelsea Wolfe","Inborn and I hold it aches Take it, kiss it, fix it Put your fingers in my mouth Baby I know only you can Your words kill me in the best way You make the whole world disappear Only with you You make me crazy Your words kill me inside and Baby I know only you can"
"39","Noorus","Chelsea Wolfe","I was young, I was scared I was so high I didn't care Mind was loose, mind was dead Mind was jaded like quarter-fed I was a boy, I was whore I would take in anything you'd give Only cared about myself Fuck you and your ego Get out of my brain It was a war, it was obscene It was the worst that I had been It was a bag of chocolate coins It wasn't water, it wasn't free It was the worst that I had been It was the death of some kind of scene"
"40","Virginia Woolf Underwater","Chelsea Wolfe","Everything you've owned is gone Everything you've known is wrong Everyone you've loved has left Everything you've touched is dead Everyone you've known is gone Everything you've touched, gone wrong Take my hand, raise up underground Listen well, follow the sound Chains moving along like our legs Never quite knowing where to stay And rest for a while When you're underwater, whisper Wait for all these sounds to fall away When you're underwater Winter will feed on the warmth of your things When you're underwater, whisper Wait for all these sounds to fall away When you're underwater Winter will feed on the warmth of your things"
"41","The Whys","Chelsea Wolfe","Why does everything gotta be So fucking complicated? You say your life is wild And I think that would be fine You say your life is wild and I wonder what that's like I think it would be fun, it would be so fun Because when I get up to leave I hope you'll come after me, but you don't So, when I get up to leave But only me for me I think I know Why does everything gotta be So fucking beautiful for everyone but me? I can't make no sense, I can't make no sense I can't make no sense, I can't make no sense for me I can't make no sense, I can't make no sense I can't make no sense, I can't make no sense for me Why does everything gotta be So fucking perfect for everyone but me? I swear to God I'm a spider in a jar Someone's shaking it then watching me crawl fast Then slow but never really getting far I'm all alone 'cause nobody Wants to sing about death with me You pronounce yourself a god then you make it happen What the fuck is going on, you gotta tell me 'Cause there's no light, no, there's no light No, there's no light at the end of my tunnel No, there's no light, no, there's no light No, there's no light at the end of my tunnel"
"42","At the End of It All","Combichrist","I carve your name Straight across my wrist Your voice bleeds through Yelling out my name Left with a choice Stand tall or fall down The laughter in your eyes Now it's all the same I would offer you my life Just to see through your eyes Just to see the world As it's meant to be seen What became of me It never hurt like this At the end of it all A heartless machine At the end of it all Now I stand alone At the end of it all Everything I need In front of me What I want it to be It cannot be I never let it out In secrecy Within this world Inside of me Now I stand alone At the end of it all"
"43","The Line to the Dead","Combichrist","No one should ever want to talk to the dead... We're sorry, your call cannot be completed as dialed We're sorry, your call cannot be completed as dialed No one should ever want to talk to the dead... We're sorry, your call cannot be completed as dialed No one should ever want to talk to the dead... We're sorry, your call cannot be completed as dialed"
"44","Subject","Prurient","I just want to let you know Late that afternoon Frustration built up You have to realize That we know We found her jewelry We found almost nothing You have to realize That we know We found nothing obvious You have to realize That we know We found almost a dozen locations And it's getting a little frustrating Frustrating It's getting a little frustrating It's getting a little frustrating You have to realize That we know It's getting a little frustrating Frustrating You have to realize It's getting a little frustrating"
"45","Lust End","Prurient","This is a lesson This is a lesson This is a lesson This is a lesson This is a lesson This is a lesson This is a lesson This is a lesson This is a lesson Lust end Lust end Lust end Lust end Lust end Lust end Lust end"
"46","My Mechatronics","Psyborg Corp.","Electro heartbeat ONE by ONE I feel like / sensorm4tic Impulse magnetic inner mainframe / is automatical Translating ways decoding data Transducting encrypted signals Updated into those emotions... What a sensi7ive code! ""I am complete, loading senses that i don't know eVery circuit, every frame, to become..."" Machines at war, annihilates A newer sense on the future Decoded love, evaporates Downloading this Inside of me Mechanic system overloaded by / artificial feelings They're emulating integration / 0f human patterns What is this that i can feel? it feels so real = recognizable! Instead of ONE and zero i see a virtually different world! ""It still remains, in other sequence recognize, with my eyes, to divide the..."" Machines at war, annihilates A newer sense on the future Decoded love, evaporates Downloading this Inside of me"
"47","Nanotech and the Grey Goo Replicators","Psyborg Corp.","Doomsday device From technology, nanofactory Microscopic agent Created to multiplicate Seeds built in hatred Single creation of a Self-replication Assembling control Molecular mutation Spreading the plague DEATH REPLICATORS! MASS REPLICATION INFINITE NANOTECH (x2) Small, molecular manufacture Nanothreat assemblers Distorted reality Complex devices, on their own Consuming the planet As life turns to grey Prey of criminal corporations Self pretention, for the sake Of the nation (alien nation) Out of control no turning back Nanomachine weapons Surprise attack DEATH REPLICATORS! MASS REPLICATION INFINITE NANOTECH (x2) DEATH REPLICATORS INFINITE NANOTECH MASS REPLICATION GREY GOO SUPREMACY"
"49","He Became A Crooked Steeple In A Dusty Old Snow Globe Nobody Had Turned Over In Years","Venetian Snares",""
"50","Many Lives -> 49 MP","Final Fantasy",""
"51","Mayday","Dispatch","I saw you yesterday Your eyes were the color of some kind of grey I hear what your sayin, but don't let me go I've got all these people down below They rush to talk, they rush to say (There's a) ""man overboard"" Mayday mayday mayday Mayday mayday mayday Troubles are brought back by you Funny how we, we go down We go anywhere but to the ground Troubles are brought back by you Funny how we, we go down We go anywhere but to the ground Yeah, yeah, yeah So I hear that you're doing fine You've flown all the planes again, on your mind I can't understand, but I don't need to know I'll speak to you through this radio They rush to talk, they rush to say (There's a) ""man overboard"" Mayday mayday mayday Mayday mayday mayday Mayday mayday mayday Mayday mayday mayday Troubles are brought back by you Funny how we, we go down We go anywhere but to the ground Troubles are brought back by you Funny how we, we go down We go anywhere but to the ground There's a man and he's overboard"
"52","Hand Grenade","Thousand Foot Krutch","I need your breath to stay alive and make me feel this way And I need your eyes to look inside and watch how we collide One more time around and I don't think I'll be allowed It's the time to tell you Take me, make me, break Watch me get wicked and drop like a hand grenade Take me, make me, break Watch me get wicked and drop like a hand grenade What's up is comin' down And I hope no one's around when it falls I find it hard to take, sometimes I feel like I could break And I hope you hear my prayer tonight Can you hear my cries? One more time around and I don't think I'll be allowed It's the time to tell you Take me, make me, break Watch me get wicked like a hand grenade Take me, make me, break Watch me get wicked and drop like a hand grenade What's up is comin' down And I hope no one's around when it falls What's up is comin' down And I hope no one's around, it's time to tell you Hey you, tell me what you want me to do Explode like a hand grenade Hey man, tell me what you want me to say I'll drop like a hand grenade Hey! Take me, make me, break Watch me get wicked and drop like a hand grenade Take me, make me, break Watch me get wicked and drop like a hand grenade Take me, make me, break Watch me get wicked and drop like a hand grenade Take me, make me, break Watch me get wicked and drop like a hand grenade We could get wicked like a hand grenade Watch me get wicked and drop like hand grenades"
"53","Broken Wing","Thousand Foot Krutch","Here comes an opening, she's gotta broken wing If you can feel the sting Take care of everything, if she can make a scene I'll show you what I mean She pack a loaded gun, set fire to anyone Knows how to make 'em run She's down on sixth street, she's goin' sixty She'll show you how to breathe I don't want to see, I don't want to be I don't wanna be anyone, anymore I don't want to fake, I don't want to break I don't wanna say anything, anymore Every time you walk away, I wish you'd stay Instead of pushin' further away Every time I hear you say, I just need one, to take this pain away You're a broken wing, not a broken thing You can heal in time, if you try It'll be okay, you can walk away Sweet Julia Here comes an opening, he's gotta broken wing If you can feel the sting Take care of everything, if he can make a scene I'll show you what I mean He packs a loaded gun, set fire to anyone Knows how to make 'em run He's down on sixth street, he's goin' sixty He'll show you how to breathe I don't want to see, I don't want to be I don't wanna be anyone, anymore I don't want to fake, I don't want to break I don't wanna say anything, anymore Every time ya walk away, I wish you'd stay Instead of pushin' further away Every time I hear you say, I just need one, to take this pain away You're a broken wing, not a broken thing You can heal in time, if you try It'll be okay, you can walk away Sweet Julia And I won't laugh, I won't look, I won't listen if you just get up And I won't laugh, I won't look, I won't listen if you just stand Every time I lie awake, I wish I could take it all away Every time my heart breaks, I wish I could make it all seem safe Every time ya walk away, I wish you'd stay Instead of pushin' further away Every time I hear you say, I just need one, to take this pain away You're a broken wing, not a broken thing You can heal in time, if you try It'll be okay, you can walk away Sweet Julia"
"54","Go","Thousand Foot Krutch","I know the way you feel The way you view incompetence So we have to remedy Our extreme lack of confidence I love the way you move You cover me like oxygen Touched by your innocence We come to you with hearts open I love the way you are The way you move, the way you speak And I like the way you heal The hole inside, that's incomplete I know the way you feel The way you view incompetence I have to remedy And make this up again And when I feel this way, it's hard not to let Go, when I feel, like I feel, the way I feel Go, I'm into you, just help me find a way this time Go, when I feel, like I feel, the way i feel Go, let it grow, wind me up and let me go I love the way you twist, the way you're so mysterious We'll have to stay in line, to let you know we're serious I know the way you've seen, the way your hands have covered me Touched by your gratitude, I'll break the skin and come undone I love the way you are The way you move, the way you speak And I like the way you heal The hole inside, that's incomplete I know the way you feel The way you view incompetence I have to remedy And make this up again And when I feel this way, it's hard not to let Go, when I feel, like I feel, the way I feel Go, I'm into you, just help me find a way this time Go, when I feel, like I feel, the way i feel Go, let it grow, wind me up and let me go Stand up, the time is now Look at the faces in the crowd Do you want to just be one? Or will you choose to overcome? Stretch, take off your hurt Leave your anger in the dirt No more feelings, let it work Let the growing take over Stand up, the time is now Look at the faces in the crowd Do you want to just be one? Or will you choose to overcome? Stretch, take off your hurt Leave your anger in the dirt No more feelings, let it work Let the growing take over Go, when I feel, like I feel, the way I feel Go, I'm into you, just help me find a way this time Go, when I feel, like I feel, the way i feel Go, let it grow, wind me up and let me go Go, yeah go go go Go, when I feel the way I feel, I wanna Go, go go go go yeah Go, when I feel the way I feel the way I feel Let me go"
"55","It's Over","Jet Black Stare","And when you wake up on your own You know i'll feel better And when you sit there all alone It's over Last call i'm gone Did you think you could lie forever I've known for so long Still you tried to play the pretender You always acted so suprised (you knew it, you knew it) And now i see through your disguise (see through it) And when you wake up on your own You know i'll feel better And now you sit there on your own You know, you know that it's over It's close, your fault Did you think you could be so clever Your lies no more Did you think you could do much better You always acted so suprised (you knew it, you knew it) And now i see through your disguise (see through it) And when you wake up on your own You know i'll feel better And now you sit there all alone You know, you know that it's over You lied to me and tried to fit Inside the arms of another Don't cry to me 'cus when it hits You'll know, you'll know that it's over (whoa whoa whoa whoa Whoa whoa whoa whoa) You always acted so suprised (you knew it, you knew it) And now i see through your disguise (see through it) And when you wake up on your own You know i'll feel better And now you sit there all alone You know, you know that it's over You lied to me and tried to fit Inside the arms of another Don't cry to me 'cus when it hits You'll know, you'll know that it's over It's over"
